Date,Product,Region,Units Sold,Unit Price,Revenue
2025-05-08,Keyboard,South,40,637.25,25490.0
2025-05-08,Smartphone,West,26,871.14,22649.64
2025-05-08,Monitor,East,14,173.58,2430.12
2025-05-08,Headphones,North,48,174.99,8399.52
2025-05-08,Headphones,West,32,970.94,31070.08
2025-05-08,Smartphone,South,49,905.67,44377.83
2025-05-08,Headphones,East,5,124.65,623.25
2025-05-08,Smartphone,South,13,738.99,9606.87
2025-05-09,Keyboard,North,17,481.1,8178.7
2025-05-09,Smartphone,North,46,473.61,21786.06
2025-05-09,Keyboard,South,48,781.89,37530.72
2025-05-09,Monitor,South,7,427.71,2993.97
2025-05-09,Smartphone,North,49,969.78,47519.22
2025-05-10,Laptop,West,48,427.08,20499.84
2025-05-10,Headphones,East,24,479.7,11512.8
2025-05-10,Headphones,East,40,745.01,29800.4
2025-05-10,Laptop,North,30,877.96,26338.8
2025-05-10,Keyboard,North,32,466.68,14933.76
2025-05-10,Laptop,East,3,458.79,1376.37
2025-05-10,Headphones,West,4,673.9,2695.6
2025-05-11,Keyboard,South,14,378.64,5300.96
2025-05-11,Monitor,South,34,250.13,8504.42
2025-05-11,Smartphone,West,34,517.66,17600.44
2025-05-11,Headphones,South,25,656.6,16415.0
2025-05-11,Monitor,South,41,499.55,20481.55
2025-05-11,Headphones,North,39,873.68,34073.52
2025-05-11,Monitor,West,15,309.95,4649.25
2025-05-12,Headphones,East,46,953.32,43852.72
2025-05-12,Keyboard,North,28,284.87,7976.36
2025-05-12,Laptop,South,15,877.21,13158.15
2025-05-12,Keyboard,East,24,641.82,15403.68
2025-05-12,Laptop,South,42,239.57,10061.94
2025-05-12,Headphones,North,8,984.78,7878.24
2025-05-12,Keyboard,East,49,974.81,47765.69
2025-05-13,Smartphone,West,45,762.17,34297.65
2025-05-13,Laptop,East,10,696.22,6962.2
2025-05-13,Keyboard,South,41,201.57,8264.37
2025-05-13,Keyboard,North,35,746.46,26126.1
2025-05-13,Monitor,East,25,370.05,9251.25
2025-05-13,Keyboard,East,24,701.29,16830.96
2025-05-14,Laptop,South,49,635.82,31155.18
2025-05-14,Laptop,South,42,987.33,41467.86
2025-05-14,Smartphone,South,31,916.75,28419.25
2025-05-14,Smartphone,North,9,344.84,3103.56
2025-05-14,Laptop,East,6,875.19,5251.14
2025-05-14,Headphones,East,11,460.72,5067.92
2025-05-15,Keyboard,East,17,312.99,5320.83
2025-05-15,Smartphone,North,43,258.25,11104.75
2025-05-15,Keyboard,East,10,972.83,9728.3
2025-05-15,Monitor,West,38,523.29,19885.02
2025-05-15,Smartphone,East,31,976.05,30257.55
2025-05-15,Smartphone,West,18,589.16,10604.88
2025-05-15,Laptop,West,3,327.08,981.24
2025-05-15,Headphones,North,25,506.48,12662.0
2025-05-15,Headphones,East,6,704.99,4229.94
2025-05-15,Laptop,North,9,997.27,8975.43
2025-05-16,Keyboard,North,37,539.08,19945.96
2025-05-17,Laptop,South,1,699.13,699.13
2025-05-17,Smartphone,West,37,128.26,4745.62
2025-05-17,Smartphone,North,9,790.86,7117.74
2025-05-17,Keyboard,East,27,358.93,9691.11
2025-05-18,Headphones,West,19,913.58,17358.02
2025-05-18,Smartphone,North,24,193.5,4644.0
2025-05-18,Keyboard,North,35,517.01,18095.35
2025-05-19,Laptop,East,39,489.49,19090.11
2025-05-19,Laptop,North,25,717.34,17933.5
2025-05-19,Headphones,West,31,874.86,27120.66
2025-05-19,Smartphone,East,4,482.46,1929.84
2025-05-19,Headphones,East,1,119.82,119.82
2025-05-19,Headphones,South,8,81.54,652.32
2025-05-19,Headphones,East,11,59.28,652.08
2025-05-19,Keyboard,South,35,80.9,2831.5
2025-05-20,Keyboard,South,12,88.1,1057.2
2025-05-20,Monitor,East,36,800.21,28807.56
2025-05-20,Laptop,South,4,73.36,293.44
2025-05-20,Monitor,South,13,209.11,2718.43
2025-05-20,Monitor,South,26,176.08,4578.08
2025-05-21,Laptop,South,13,946.44,12303.72
2025-05-21,Laptop,West,23,772.97,17778.31
2025-05-21,Monitor,West,9,185.37,1668.33
2025-05-22,Monitor,South,33,107.33,3541.89
2025-05-22,Laptop,North,10,79.58,795.8
2025-05-22,Keyboard,North,33,570.21,18816.93
2025-05-22,Keyboard,East,10,274.25,2742.5
2025-05-23,Laptop,East,24,205.44,4930.56
2025-05-23,Laptop,East,41,450.63,18475.83
2025-05-23,Headphones,West,11,505.94,5565.34
2025-05-23,Smartphone,South,34,149.68,5089.12
2025-05-23,Headphones,West,1,93.45,93.45
2025-05-23,Monitor,West,40,372.48,14899.2
2025-05-24,Headphones,North,34,448.74,15257.16
2025-05-24,Smartphone,West,27,675.77,18245.79
2025-05-24,Headphones,West,42,223.01,9366.42
2025-05-24,Smartphone,West,4,205.35,821.4
2025-05-24,Keyboard,South,15,454.87,6823.05
2025-05-25,Smartphone,West,30,220.7,6621.0
2025-05-25,Headphones,North,32,564.23,18055.36
2025-05-25,Headphones,West,17,168.93,2871.81
2025-05-25,Headphones,North,29,867.12,25146.48
2025-05-25,Keyboard,North,32,240.5,7696.0
2025-05-26,Keyboard,West,42,806.71,33881.82
2025-05-26,Laptop,South,40,612.73,24509.2
2025-05-26,Smartphone,South,22,971.33,21369.26
2025-05-26,Smartphone,East,45,649.98,29249.1
2025-05-26,Smartphone,North,2,454.22,908.44
2025-05-27,Smartphone,West,16,550.08,8801.28
2025-05-27,Laptop,South,20,924.81,18496.2
2025-05-27,Keyboard,West,34,811.64,27595.76
2025-05-27,Keyboard,North,13,402.49,5232.37
2025-05-27,Keyboard,West,43,79.12,3402.16
2025-05-27,Smartphone,South,13,721.15,9374.95
2025-05-28,Monitor,North,17,784.8,13341.6
2025-05-28,Keyboard,North,43,669.08,28770.44
2025-05-28,Laptop,East,5,787.77,3938.85
2025-05-28,Smartphone,South,39,309.6,12074.4
2025-05-28,Keyboard,South,32,861.67,27573.44
2025-05-29,Laptop,North,45,996.52,44843.4
2025-05-29,Laptop,North,7,577.6,4043.2
2025-05-29,Headphones,West,22,211.27,4647.94
2025-05-29,Monitor,West,14,61.04,854.56
2025-05-29,Headphones,North,37,810.56,29990.72
2025-05-29,Headphones,East,34,400.1,13603.4
2025-05-29,Headphones,North,3,877.42,2632.26
2025-05-29,Laptop,South,40,939.4,37576.0
2025-05-30,Keyboard,North,28,149.34,4181.52
2025-05-30,Smartphone,East,13,126.11,1639.43
2025-05-30,Smartphone,West,2,599.74,1199.48
2025-05-30,Monitor,East,12,709.0,8508.0
2025-05-30,Headphones,East,35,507.45,17760.75
2025-05-30,Laptop,South,6,730.03,4380.18
2025-05-30,Monitor,South,5,782.38,3911.9
2025-05-30,Smartphone,North,6,671.79,4030.74
2025-05-31,Keyboard,East,37,357.43,13224.91
2025-05-31,Laptop,West,36,295.23,10628.28
2025-05-31,Laptop,East,37,259.73,9610.01
2025-05-31,Monitor,East,41,620.02,25420.82
2025-05-31,Headphones,South,12,174.33,2091.96
2025-05-31,Laptop,East,30,294.8,8844.0
2025-05-31,Laptop,East,13,878.19,11416.47
